"Module Name","Display Name","Description","Driver Type","Start Mode","State","Status","Accept Stop","Accept Pause","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Link Date","Path","Init(bytes)"
"hidi2c","Microsoft I2C HID Miniport Driver","Microsoft I2C HID Miniport Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:36","C:\Windows\system32\drivers\hidi2c.sys","0"
"HidUsb","Microsoft HID Class Driver","Microsoft HID Class Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:21","C:\Windows\system32\drivers\hidusb.sys","0"
"HTTP","HTTP Service","HTTP Service","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:27","C:\Windows\system32\drivers\HTTP.sys","0"
"hwpolicy","Hardware Policy Driver","Hardware Policy Driver","Kernel ","Boot","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:14:11","C:\Windows\system32\drivers\hwpolicy.sys","0"
"IPMIDRV","IPMIDRV","IPMIDRV","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:26","C:\Windows\system32\drivers\IPMIDrv.sys","0"
"IPNAT","IP Network Address Translator","IP Network Address Translator","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-09-14 12:39:08","C:\Windows\system32\drivers\ipnat.sys","0"
"kbdclass","Keyboard Class Driver","Keyboard Class Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:35","C:\Windows\system32\drivers\kbdclass.sys","0"
"kbdhid","Keyboard HID Driver","Keyboard HID Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:34","C:\Windows\system32\drivers\kbdhid.sys","0"
"kbldfltr","kbldfltr","kbldfltr","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:12","C:\Windows\system32\drivers\kbldfltr.sys","0"
"KSecDD","KSecDD","KSecDD","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-09-21 08:56:37","C:\Windows\system32\Drivers\ksecdd.sys","0"
"KSecPkg","KSecPkg","KSecPkg","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:37","C:\Windows\system32\Drivers\ksecpkg.sys","0"
"lltdio","Link-Layer Topology Discovery Mapper I/O Driver","Link-Layer Topology Discovery Mapper I/O Driver","Kernel ","Auto","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:05","C:\Windows\system32\DRIVERS\lltdio.sys","0"
"mbtu97w8","Marvell AVASTAR Bluetooth Enumerator Service","Marvell AVASTAR Bluetooth Enumerator Service","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-11-22 04:30:57","C:\Windows\system32\drivers\mbtu97w8arm.sys","0"
"Modem","Modem","Modem","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:14:11","C:\Windows\system32\drivers\modem.sys","0"
"monitor","Microsoft Monitor Class Function Driver Service","Microsoft Monitor Class Function Driver Service","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:15","C:\Windows\system32\drivers\monitor.sys","0"
"mouclass","Mouse Class Driver","Mouse Class Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:34","C:\Windows\system32\drivers\mouclass.sys","0"
"mouhid","Mouse HID Driver","Mouse HID Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:34","C:\Windows\system32\drivers\mouhid.sys","0"
"mountmgr","Mount Point Manager","Mount Point Manager","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 04:36:51","C:\Windows\system32\drivers\mountmgr.sys","0"
"mpsdrv","Windows Firewall Authorisation Driver","Windows Firewall Authorisation Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:11:48","C:\Windows\system32\drivers\mpsdrv.sys","0"
"mrvlsd8797","Marvell Wireless LAN SD8797 Device Filter Driver","Marvell Wireless LAN SD8797 Device Filter Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-11-22 04:30:43","C:\Windows\system32\DRIVERS\mrvlsd8797.sys","0"
"MRxDAV","WebDav Client Redirector Driver","WebDav Client Redirector Driver","File System ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:12:35","C:\Windows\system32\drivers\mrxdav.sys","0"
"mrxsmb","SMB MiniRedirector Wrapper and Engine","SMB MiniRedirector Wrapper and Engine","File System ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-09-21 08:54:53","C:\Windows\system32\DRIVERS\mrxsmb.sys","0"
"mrxsmb10","SMB 1.x MiniRedirector","SMB 1.x MiniRedirector","File System ","Auto","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:11:47","C:\Windows\system32\DRIVERS\mrxsmb10.sys","0"
"mrxsmb20","SMB 2.0 MiniRedirector","SMB 2.0 MiniRedirector","File System ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-09-21 08:55:49","C:\Windows\system32\DRIVERS\mrxsmb20.sys","0"
"MsBridge","Microsoft MAC Bridge","Microsoft MAC Bridge","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:11:43","C:\Windows\system32\DRIVERS\bridge.sys","0"
"Msfs","Msfs","Msfs","File System ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:14:15","C:\Windows\system32\drivers\Msfs.sys","0"
"msgpiowin32","Common Driver for Buttons, DockMode and Laptop/Slate Indicator","Common Driver for Buttons, DockMode and Laptop/Slate Indicator","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:03","C:\Windows\system32\drivers\msgpiowin32.sys","0"
